proyecto,id_expediente,tipo,estado,region,hito_pre_adenda,tiene_icsara,n_pacs,n_adendas,n_icsaras,dias_ingreso_a_admisibilidad,dias_admisibilidad_a_solicitud,dias_solicitud_a_icsara1,dias_icsara1_a_pac1,dias_pre_adenda_a_adenda1,dias_solicitud_a_ice,dias_ultima_adenda_a_ice,dias_ice_a_rca,dias_totales_ingreso_a_rca,dias_habiles_ingreso_a_admisibilidad,dias_habiles_admisibilidad_a_solicitud,dias_habiles_solicitud_a_icsara1,dias_habiles_icsara1_a_pac1,dias_habiles_pre_adenda_a_adenda1,dias_habiles_solicitud_a_ice,dias_habiles_ultima_adenda_a_ice,dias_habiles_ice_a_rca,dias_habiles_totales_ingreso_a_rca
Ampliación y Mejoras en Planta de Procesamiento de Minerales Las Luces,2165983838,EIA,En Calificación (Suspendido),Región de Antofagasta,PAC,True,1,0,1,9,0,88,29,,,,,,5,0,60,19,,,,,
"Proyecto Híbrido Solar, Eólico y de Almacenamiento de Energía Llanura Solar",2166050386,EIA,En Calificación (Suspendido),Región de Antofagasta,PAC,True,1,0,1,3,0,89,48,,,,,,3,0,60,31,,,,,
"Proyecto Híbrido Solar, Eólico y de Almacenamiento de Energía Llanura Solar",2165799585,EIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
Proyecto Minero Tovaku,2165803565,EIA,En Calificación (Suspendido),Región de Antofagasta,PAC,True,1,1,2,6,0,86,48,42,,,,,4,0,59,32,28,,,,
Parque Híbrido Eólico y Solar Vientos de Taltal,2164484061,EIA,En Calificación (Suspendido),Región de Antofagasta,PAC,True,1,1,2,6,0,87,26,199,,,,,4,0,60,17,135,,,,
Continuidad Operacional y Transición Hídrica Proyecto Minero División Gabriela Mistral,2163929543,EIA,En Calificación (Suspendido),Región de Antofagasta,PAC,True,1,1,2,7,0,85,23,196,,,,,4,0,60,17,132,,,,
Parque Eólico y Solar Thayari,2163860140,EIA,En Calificación (Suspendido),Región de Antofagasta,PAC,True,1,1,2,6,0,81,45,206,,,,,3,0,58,29,141,,,,
INNA - Proyecto Integrado de Infraestructura Energética para la Generación,2163335618,EIA,Desistido,Región de Antofagasta,PAC,True,1,0,1,7,3,84,87,,,,,,4,1,59,60,,,,,
Continuidad Operacional Mina Las Luces y Modificación Método de Explotación,2163855776,EIA,En Calificación (Suspendido),Región de Antofagasta,PAC,True,1,1,2,4,0,88,62,192,,,,,4,0,60,42,131,,,,
"Central de Bombeo Paposo para almacenamiento, generación y transporte de energía",2162293769,EIA,No calificado,Región de Antofagasta,,False,0,0,0,4,0,,,,,,,,4,0,,,,,,,
Central de Bombeo Paposo,2162064165,EIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
Proyecto Volta - Planta de Hidrógeno y Amoníaco Verde,2161262741,EIA,Aprobado,Región de Antofagasta,PAC,True,1,2,2,6,0,89,21,297,642,91,15,663,4,0,60,15,203,436,62,10,450
Parque Fotovoltaico y Línea de Transmisión para el Abastecimiento de Instalaciones SQM,2166736529,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,4,0,43,,,,,,,2,0,30,,,,,,
Parque Fotovoltaico Ckoirama Solar,2167301070,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,5,0,44,,,,,,,3,0,30,,,,,,
"Depósito de seguridad de Residuos Peligrosos, no peligrosos y Centro de reciclaje",2167312915,DIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
Conversión a gas natural y mejoras operacionales al Proyecto Central Térmica Andino del Complejo Termoeléctrico Mejillones,2166915385,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,4,0,44,,,,,,,2,0,30,,,,,,
Aumento de Capacidad Diaria de Producción de la Planta MSMR La Negra,2167255967,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,6,0,44,,,,,,,4,0,30,,,,,,
Sistema de Almacenamiento de Energía BESS y Línea de Transmisión - Imilac,2167246311,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,7,0,43,,,,,,,4,0,29,,,,,,
Mejoramiento de la Fibra Óptica del Proyecto Sistema de Transmisión 500 kV Mejillones Cardones,2166756354,DIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
Parque Fotovoltaico Ckoirama Solar,2166819297,DIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
Extensión Vida Útil Compañía Minera Lomas Bayas 2038,2166889895,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,7,0,45,,,,,,,5,0,30,,,,,,
