proyecto,id_expediente,tipo,estado,region,hito_pre_adenda,tiene_icsara,n_pacs,n_adendas,n_icsaras,dias_ingreso_a_admisibilidad,dias_admisibilidad_a_solicitud,dias_solicitud_a_icsara1,dias_icsara1_a_pac1,dias_pre_adenda_a_adenda1,dias_solicitud_a_ice,dias_ultima_adenda_a_ice,dias_ice_a_rca,dias_totales_ingreso_a_rca,dias_habiles_ingreso_a_admisibilidad,dias_habiles_admisibilidad_a_solicitud,dias_habiles_solicitud_a_icsara1,dias_habiles_icsara1_a_pac1,dias_habiles_pre_adenda_a_adenda1,dias_habiles_solicitud_a_ice,dias_habiles_ultima_adenda_a_ice,dias_habiles_ice_a_rca,dias_habiles_totales_ingreso_a_rca
Proyecto Ciclón Exploradora,2155609426,EIA,No calificado,Región de Antofagasta,,False,0,0,0,8,0,,,,,,,,5,0,,,,,,,
Parque Eolico Wayra (primer ingreso),2155483400,EIA,Desistido,Región de Antofagasta,PAC,True,1,1,1,7,0,87,21,347,,,,,5,0,60,15,235,,,,
Aguas Marítimas (tercer ingreso),2155242272,EIA,En Calificación (Activo),Región de Antofagasta,PAC,True,2,3,3,6,0,85,24,642,,,,,4,0,60,17,436,,,,
Aguas Marítimas (segundo ingreso),2155217256,EIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
Plan de Reducción de Extracciones en el Salar de Atacama,2154490427,EIA,En Calificación (Activo),Región de Antofagasta,PAC,True,2,3,3,7,0,85,91,202,,,,,5,0,60,63,136,,,,
Aguas Marítimas (primer ingreso),2154810655,EIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
Complejo Tecnológico NorQuim para la Producción y Almacenamiento de Metanol,2168003485,EIA,En Calificación (Activo),Región de Antofagasta,,False,0,0,0,6,0,,,,,,,,4,0,,,,,,,
"Modificación de la Operación Actual, Proyecto TED: Transición Hacia Extracción Directa de Litio",2168003562,EIA,En Calificación (Activo),Región de Antofagasta,,False,0,0,0,7,0,,,,,,,,5,0,,,,,,,
Continuidad Operacional Minera El Abra y Desarrollo de Planta Concentradora con Transición Hídrica a Agua Desalada,2167925893,EIA,En Calificación (Activo),Región de Antofagasta,,False,0,0,0,7,0,,,,,,,,5,0,,,,,,,
Continuidad del Proceso de Lixiviación y Adecuaciones al Proyecto Minero Distrito Sierra Gorda,2167333401,EIA,En Calificación (Activo),Región de Antofagasta,,False,0,0,0,7,0,,,,,,,,5,0,,,,,,,
Ampliación y Mejoras en Planta de Procesamiento de Minerales Las Luces,2165983838,EIA,En Calificación (Suspendido),Región de Antofagasta,PAC,True,1,0,1,9,0,88,29,,,,,,5,0,60,19,,,,,
"Proyecto Híbrido Solar, Eólico y de Almacenamiento de Energía Llanura Solar",2166050386,EIA,En Calificación (Suspendido),Región de Antofagasta,PAC,True,1,0,1,3,0,89,48,,,,,,3,0,60,31,,,,,
"Proyecto Híbrido Solar, Eólico y de Almacenamiento de Energía Llanura Solar",2165799585,EIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
Proyecto Minero Tovaku,2165803565,EIA,En Calificación (Suspendido),Región de Antofagasta,PAC,True,1,1,2,6,0,86,48,42,,,,,4,0,59,32,28,,,,
Parque Híbrido Eólico y Solar Vientos de Taltal,2164484061,EIA,En Calificación (Suspendido),Región de Antofagasta,PAC,True,1,1,2,6,0,87,26,199,,,,,4,0,60,17,135,,,,
Continuidad Operacional y Transición Hídrica Proyecto Minero División Gabriela Mistral,2163929543,EIA,En Calificación (Suspendido),Región de Antofagasta,PAC,True,1,1,2,7,0,85,23,196,,,,,4,0,60,17,132,,,,
Parque Eólico y Solar Thayari,2163860140,EIA,En Calificación (Suspendido),Región de Antofagasta,PAC,True,1,1,2,6,0,81,45,206,,,,,3,0,58,29,141,,,,
INNA - Proyecto Integrado de Infraestructura Energética para la Generación,2163335618,EIA,Desistido,Región de Antofagasta,PAC,True,1,0,1,7,3,84,87,,,,,,4,1,59,60,,,,,
Continuidad Operacional Mina Las Luces y Modificación Método de Explotación,2163855776,EIA,En Calificación (Suspendido),Región de Antofagasta,PAC,True,1,1,2,4,0,88,62,192,,,,,4,0,60,42,131,,,,
"Central de Bombeo Paposo para almacenamiento, generación y transporte de energía",2162293769,EIA,No calificado,Región de Antofagasta,,False,0,0,0,4,0,,,,,,,,4,0,,,,,,,
Central de Bombeo Paposo,2162064165,EIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
Proyecto Volta - Planta de Hidrógeno y Amoníaco Verde,2161262741,EIA,Aprobado,Región de Antofagasta,PAC,True,1,2,2,6,0,89,21,297,642,91,15,663,4,0,60,15,203,436,62,10,450
Parque Híbrido Vientos del Desierto,2160610294,EIA,Desistido,Región de Antofagasta,PAC,True,1,0,1,6,0,85,35,,,,,,3,0,59,24,,,,,
Parque Eólico Wayra,2160034555,EIA,Aprobado,Región de Antofagasta,PAC,True,2,3,3,8,0,90,37,231,847,69,22,877,4,0,60,25,159,574,46,16,594
Desarrollo Futuro DMH,2159674786,EIA,Aprobado,Región de Antofagasta,PAC,True,2,3,3,7,0,93,109,114,882,98,22,911,5,0,61,74,79,596,66,16,617
Extensión de vida útil con transición hídrica - Compañía Minera Zaldívar,2159410455,EIA,Aprobado,Región de Antofagasta,PAC,True,2,3,3,8,0,89,23,162,679,55,13,700,4,0,60,16,111,461,37,9,474
Extensión El Way Este,2158996386,EIA,Aprobado,Región de Antofagasta,PAC,True,2,3,3,7,1,86,25,219,812,57,24,844,5,1,59,17,148,551,39,17,574
Parque Híbrido Pampas,2158632264,EIA,Aprobado,Región de Antofagasta,PAC,True,1,3,3,7,0,86,19,158,536,64,24,567,5,0,60,13,106,365,43,16,386
Adecuación Operacional Spence,2158456424,EIA,Aprobado,Región de Antofagasta,PAC,True,1,3,3,6,0,85,16,160,680,56,22,708,4,0,59,12,108,462,38,14,480
AMPLIACIÓN DE LA EXPLOTACIÓN SUBTERRÁNEA MINA CHIQUILLA CHICA Y DE LA CONTINUIDAD OPERACIONAL DE FAENA MINERA EL PEÑÓN,2167733127,DIA,En Calificación (Activo),Región de Antofagasta,,False,0,0,0,7,0,,,,,,,,5,0,,,,,,,
"Nueva Planta Concentradora, obras eléctricas, actualización movimiento mina e implementación de obras complementarias en Minera Escondida",2167965265,DIA,En Calificación (Activo),Región de Antofagasta,,False,0,0,0,2,0,,,,,,,,2,0,,,,,,,
Pozo de Áridos Explonorte,2167913597,DIA,En Calificación (Activo),Región de Antofagasta,,False,0,0,0,7,0,,,,,,,,5,0,,,,,,,
Modificación Terminal Interacid Aumento de Capacidad de Almacenamiento de Ácido Sulfúrico,2167683452,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,6,0,42,,,,,,,4,0,30,,,,,,
Parque Fotovoltaico Elena 2,2167655014,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,5,0,42,,,,,,,3,0,30,,,,,,
Modificación Terminal Mejillones Terquim,2167491318,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,7,0,42,,,,,,,5,0,30,,,,,,
Mejoramiento de la Fibra Óptica del Proyecto Sistema de Transmisión 500 kV Mejillones Cardones,2167323838,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,2,0,42,,,,,,,2,0,30,,,,,,
Regularización de instalaciones complementarias a la operación del Proyecto Planta desalinizadora y suministro de agua industrial. Modificación de RCA 217/2017,2167503858,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,7,0,42,,,,,,,5,0,30,,,,,,
"Depósito de seguridad de Residuos Peligrosos, no peligrosos y Centro de reciclaje",2167445096,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,3,0,42,,,,,,,3,0,30,,,,,,
Parque Fotovoltaico y Línea de Transmisión para el Abastecimiento de Instalaciones SQM,2166736529,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,4,0,43,,,,,,,2,0,30,,,,,,
Parque Fotovoltaico Ckoirama Solar,2167301070,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,5,0,44,,,,,,,3,0,30,,,,,,
"Depósito de seguridad de Residuos Peligrosos, no peligrosos y Centro de reciclaje",2167312915,DIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
Conversión a gas natural y mejoras operacionales al Proyecto Central Térmica Andino del Complejo Termoeléctrico Mejillones,2166915385,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,4,0,44,,,,,,,2,0,30,,,,,,
Aumento de Capacidad Diaria de Producción de la Planta MSMR La Negra,2167255967,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,6,0,44,,,,,,,4,0,30,,,,,,
Sistema de Almacenamiento de Energía BESS y Línea de Transmisión - Imilac,2167246311,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,7,0,43,,,,,,,4,0,29,,,,,,
Mejoramiento de la Fibra Óptica del Proyecto Sistema de Transmisión 500 kV Mejillones Cardones,2166756354,DIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
Parque Fotovoltaico Ckoirama Solar,2166819297,DIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
Extensión Vida Útil Compañía Minera Lomas Bayas 2038,2166889895,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,7,0,45,,,,,,,5,0,30,,,,,,
Ampliación Vertedero de Disposición Residuos Sólidos No Peligrosos Manjarcito - RECIMAT,2166682622,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,7,0,42,,,,,,,4,0,29,,,,,,
Extensión del Acueducto Planta de Tratamiento de Aguas Servidas Antofagasta Econssa para el Abastecimiento de Agua Tratada a Compañía Minera Lomas Bayas,2166612801,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,6,0,44,,,,,,,4,0,30,,,,,,
"Optimización Operacional en Pila de Lixiviación de Sulfuros y Planta de Emulsión Matriz; Nuevas Obras Eléctricas, Planta de Tratamiento de Aguas Servidas, Relleno Sanitario, Sitio de Empréstito y Obras Auxiliares en Minera Escondida",2166423458,DIA,En Calificación (Activo),Región de Antofagasta,PAC,True,1,1,1,6,0,43,87,16,,,,,4,0,30,58,12,,,,
Modificación Centro de Residuos de Mejillones,2166304646,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,0,1,6,0,47,,,,,,,4,0,30,,,,,,
EXPLORER,2166173070,DIA,Otro,Región de Antofagasta,,False,0,0,0,7,,,,,,,,,5,,,,,,,,
Sistema de Almacenamiento de Energía Águila Mora,2166187544,DIA,En Calificación (Activo),Región de Antofagasta,ICSARA,True,0,2,2,6,0,46,,80,,,,,4,0,30,,54,,,,
Prospección Minera Proyecto Cachinal,2165689990,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,1,2,6,0,43,,149,,,,,3,0,30,,101,,,,
Optimización al Sistema de Distribución de Agua Potable en el Sector Norte de la ciudad de Antofagasta,2165678467,DIA,En Calificación (Activo),Región de Antofagasta,ICSARA,True,0,1,1,5,0,43,,203,,,,,3,0,29,,139,,,,
Prospección Minera Proyecto Capricornio,2165488809,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,1,2,7,0,46,,107,,,,,5,0,30,,73,,,,
Continuidad Operacional Planta Cerro Dominador,2165314413,DIA,En Calificación (Activo),Región de Antofagasta,ICSARA,True,0,2,2,7,0,43,,155,,,,,4,0,30,,105,,,,
Parque Fotovoltaico con capacidad de almacenamiento Valle de las Estrellas,2163869691,DIA,En Calificación (Suspendido),Región de Antofagasta,ICSARA,True,0,1,2,4,0,46,,206,,,,,4,0,30,,140,,,,
Nueva Línea de Alta Tensión 1x220 kV para Soporte de Suministro Eléctrico Minera Spence,2165032673,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,8,0,46,,67,203,28,27,238,5,0,30,,47,138,19,18,161
CENTRO DE ALMACENAMIENTO DE SUSTANCIAS PELIGROSAS DEL NORTE,2163973518,DIA,Rechazado,Región de Antofagasta,ICSARA,True,0,2,2,8,0,44,,77,309,26,13,330,5,0,30,,52,210,18,9,224
"Modificaciones Operacionales en Planta Concentradora Laguna Seca y Nueva Línea Eléctrica Asociada, al Interior de Minera Escondida",2164534221,DIA,Aprobado,Región de Antofagasta,ICSARA,True,1,2,2,7,0,42,107,72,189,26,28,224,5,0,29,73,49,129,18,18,152
Optimización Planta Recuperadora de Metales,2164490479,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,1,1,6,0,42,,79,176,55,26,208,4,0,29,,54,120,37,16,140
"Sistema de Almacenamiento de Energía (BESS) en Subestación Eléctrica Los Changos, Ríos de Ribagorda",2164450260,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,2,0,42,,118,280,24,27,309,2,0,30,,79,191,18,18,211
"Sistema de Almacenamiento de Energía (BESS) en Subestación Eléctrica El Tesoro, Ríos de Tudela",2164450174,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,2,0,41,,119,320,32,22,344,2,0,29,,80,216,19,16,234
Construcción y operación de seis Polvorines para almacenamiento de productos explosivos en Planta Río Loa de Enaex Servicios S.A.,2163976571,DIA,En Calificación (Activo),Región de Antofagasta,ICSARA,True,1,2,2,3,0,41,217,211,,,,,3,0,29,146,143,,,,
